序号,分析栈栈顶,当前输入流,动作
1,Program,PROGRAM,将产生式1推导出的文法符号.     ProgramBody     DeclarePart     ProgramHead     加入到分析栈中
2,ProgramHead,PROGRAM,将产生式2推导出的文法符号ProgramName     PROGRAM     加入到分析栈中
3,PROGRAM,PROGRAM,匹配
4,ProgramName,ID,将产生式3推导出的文法符号ID     加入到分析栈中
5,ID,ID,匹配
6,DeclarePart,TYPE,将产生式4推导出的文法符号ProcDec     VarDec     TypeDec     加入到分析栈中
7,TypeDec,TYPE,将产生式6推导出的文法符号TypeDeclaration     加入到分析栈中
8,TypeDeclaration,TYPE,将产生式7推导出的文法符号TypeDecList     TYPE     加入到分析栈中
9,TYPE,TYPE,匹配
10,TypeDecList,ID,将产生式8推导出的文法符号TypeDecMore     ;     TypeName     =     TypeId     加入到分析栈中
11,TypeId,ID,将产生式11推导出的文法符号ID     加入到分析栈中
12,ID,ID,匹配
13,=,=,匹配
14,TypeName,INTEGER,将产生式12推导出的文法符号BaseType     加入到分析栈中
15,BaseType,INTEGER,将产生式15推导出的文法符号INTEGER     加入到分析栈中
16,INTEGER,INTEGER,匹配
17,;,;,匹配
18,TypeDecMore,VAR,将产生式9推导出的文法符号@     加入到分析栈中
19,@,VAR,分析栈弹出空字符 
20,VarDec,VAR,将产生式31推导出的文法符号VarDeclaration     加入到分析栈中
21,VarDeclaration,VAR,将产生式32推导出的文法符号VarDecList     VAR     加入到分析栈中
22,VAR,VAR,匹配
23,VarDecList,INTEGER,将产生式33推导出的文法符号VarDecMore     ;     VarIdList     TypeName     加入到分析栈中
24,TypeName,INTEGER,将产生式12推导出的文法符号BaseType     加入到分析栈中
25,BaseType,INTEGER,将产生式15推导出的文法符号INTEGER     加入到分析栈中
26,INTEGER,INTEGER,匹配
27,VarIdList,ID,将产生式36推导出的文法符号VarIdMore     ID     加入到分析栈中
28,ID,ID,匹配
29,VarIdMore,,,将产生式38推导出的文法符号VarIdList     ,     加入到分析栈中
30,,,,,匹配
31,VarIdList,ID,将产生式36推导出的文法符号VarIdMore     ID     加入到分析栈中
32,ID,ID,匹配
33,VarIdMore,;,将产生式37推导出的文法符号@     加入到分析栈中
34,@,;,分析栈弹出空字符 
35,;,;,匹配
36,VarDecMore,PROCEDURE,将产生式34推导出的文法符号@     加入到分析栈中
37,@,PROCEDURE,分析栈弹出空字符 
38,ProcDec,PROCEDURE,将产生式40推导出的文法符号ProcDeclaration     加入到分析栈中
39,ProcDeclaration,PROCEDURE,将产生式41推导出的文法符号ProcDec     ProcBody     ProcDecPart     ;     )     ParamList     (     ProcName     PROCEDURE     加入到分析栈中
40,PROCEDURE,PROCEDURE,匹配
41,ProcName,ID,将产生式49推导出的文法符号ID     加入到分析栈中
42,ID,ID,匹配
43,(,(,匹配
44,ParamList,INTEGER,将产生式43推导出的文法符号ParamDecList     加入到分析栈中
45,ParamDecList,INTEGER,将产生式44推导出的文法符号ParamMore     Param     加入到分析栈中
46,Param,INTEGER,将产生式50推导出的文法符号FormList     TypeName     加入到分析栈中
47,TypeName,INTEGER,将产生式12推导出的文法符号BaseType     加入到分析栈中
48,BaseType,INTEGER,将产生式15推导出的文法符号INTEGER     加入到分析栈中
49,INTEGER,INTEGER,匹配
50,FormList,ID,将产生式52推导出的文法符号FidMore     ID     加入到分析栈中
51,ID,ID,匹配
52,FidMore,),将产生式53推导出的文法符号@     加入到分析栈中
53,@,),分析栈弹出空字符 
54,ParamMore,),将产生式45推导出的文法符号@     加入到分析栈中
55,@,),分析栈弹出空字符 
56,),),匹配
57,;,;,匹配
58,ProcDecPart,VAR,将产生式55推导出的文法符号DeclarePart     加入到分析栈中
59,DeclarePart,VAR,将产生式4推导出的文法符号ProcDec     VarDec     TypeDec     加入到分析栈中
60,TypeDec,VAR,将产生式5推导出的文法符号@     加入到分析栈中
61,@,VAR,分析栈弹出空字符 
62,VarDec,VAR,将产生式31推导出的文法符号VarDeclaration     加入到分析栈中
63,VarDeclaration,VAR,将产生式32推导出的文法符号VarDecList     VAR     加入到分析栈中
64,VAR,VAR,匹配
65,VarDecList,INTEGER,将产生式33推导出的文法符号VarDecMore     ;     VarIdList     TypeName     加入到分析栈中
66,TypeName,INTEGER,将产生式12推导出的文法符号BaseType     加入到分析栈中
67,BaseType,INTEGER,将产生式15推导出的文法符号INTEGER     加入到分析栈中
68,INTEGER,INTEGER,匹配
69,VarIdList,ID,将产生式36推导出的文法符号VarIdMore     ID     加入到分析栈中
70,ID,ID,匹配
71,VarIdMore,;,将产生式37推导出的文法符号@     加入到分析栈中
72,@,;,分析栈弹出空字符 
73,;,;,匹配
74,VarDecMore,BEGIN,将产生式34推导出的文法符号@     加入到分析栈中
75,@,BEGIN,分析栈弹出空字符 
76,ProcDec,BEGIN,将产生式39推导出的文法符号@     加入到分析栈中
77,@,BEGIN,分析栈弹出空字符 
78,ProcBody,BEGIN,将产生式56推导出的文法符号ProgramBody     加入到分析栈中
79,ProgramBody,BEGIN,将产生式57推导出的文法符号END     StmList     BEGIN     加入到分析栈中
80,BEGIN,BEGIN,匹配
81,StmList,ID,将产生式58推导出的文法符号StmMore     Stm     加入到分析栈中
82,Stm,ID,将产生式66推导出的文法符号AssCall     ID     加入到分析栈中
83,ID,ID,匹配
84,AssCall,:=,将产生式67推导出的文法符号AssignmentRest     加入到分析栈中
85,AssignmentRest,:=,将产生式69推导出的文法符号Exp     :=     VariMore     加入到分析栈中
86,VariMore,:=,将产生式93推导出的文法符号@     加入到分析栈中
87,@,:=,分析栈弹出空字符 
88,:=,:=,匹配
